Time,Open,High,Low,Close,Volume
06.01.2017 01:00:00.000 GMT+0100,1.06039,1.06221,1.05250,1.05290,226026656250
08.01.2017 01:00:00.000 GMT+0100,1.05300,1.05358,1.05260,1.05294,5515100097.6563
09.01.2017 01:00:00.000 GMT+0100,1.05294,1.05890,1.05109,1.05858,219645734375
10.01.2017 01:00:00.000 GMT+0100,1.05858,1.06272,1.05509,1.05522,227707015625
11.01.2017 01:00:00.000 GMT+0100,1.05522,1.06229,1.04538,1.05941,287661593750
12.01.2017 01:00:00.000 GMT+0100,1.05942,1.06847,1.05714,1.06162,283076281250
13.01.2017 01:00:00.000 GMT+0100,1.06158,1.06734,1.05961,1.06420,226614875000
15.01.2017 01:00:00.000 GMT+0100,1.06039,1.06358,1.06030,1.06272,7140439941.4063
16.01.2017 01:00:00.000 GMT+0100,1.06274,1.06344,1.05793,1.06022,172454890625
17.01.2017 01:00:00.000 GMT+0100,1.06022,1.07191,1.06007,1.06966,285585593750
18.01.2017 01:00:00.000 GMT+0100,1.06966,1.07123,1.06244,1.06280,241426312500
19.01.2017 01:00:00.000 GMT+0100,1.06282,1.06766,1.05892,1.06591,276319218750
20.01.2017 01:00:00.000 GMT+0100,1.06593,1.07094,1.06251,1.06990,226792187500
22.01.2017 01:00:00.000 GMT+0100,1.07027,1.07168,1.06941,1.07126,7218810058.5938
23.01.2017 01:00:00.000 GMT+0100,1.07124,1.07729,1.07063,1.07591,216128984375
24.01.2017 01:00:00.000 GMT+0100,1.07589,1.07749,1.07204,1.07281,191667062500
25.01.2017 01:00:00.000 GMT+0100,1.07282,1.07698,1.07112,1.07525,234112078125
26.01.2017 01:00:00.000 GMT+0100,1.07527,1.07655,1.06576,1.06834,243428765625
27.01.2017 01:00:00.000 GMT+0100,1.06834,1.07250,1.06584,1.06958,210667562500
29.01.2017 01:00:00.000 GMT+0100,1.07213,1.07214,1.07080,1.07169,6970970214.8438
30.01.2017 01:00:00.000 GMT+0100,1.07169,1.07402,1.06203,1.07075,213100984375
31.01.2017 01:00:00.000 GMT+0100,1.07075,1.08122,1.06846,1.08008,282938375000
01.02.2017 01:00:00.000 GMT+0100,1.08008,1.08073,1.07310,1.07653,244016953125
02.02.2017 01:00:00.000 GMT+0100,1.07654,1.08288,1.07560,1.07617,243318562500
03.02.2017 01:00:00.000 GMT+0100,1.07618,1.07975,1.07115,1.07818,228892203125
05.02.2017 01:00:00.000 GMT+0100,1.07896,1.07915,1.07780,1.07824,4076270019.5313
06.02.2017 01:00:00.000 GMT+0100,1.07824,1.07887,1.07059,1.07430,221177593750
07.02.2017 01:00:00.000 GMT+0100,1.07430,1.07444,1.06561,1.06788,233002343750
08.02.2017 01:00:00.000 GMT+0100,1.06788,1.07139,1.06407,1.06913,239400000000
09.02.2017 01:00:00.000 GMT+0100,1.06910,1.07095,1.06509,1.06572,232668265625
10.02.2017 01:00:00.000 GMT+0100,1.06571,1.06677,1.06077,1.06397,238342015625
12.02.2017 01:00:00.000 GMT+0100,1.06285,1.06370,1.06174,1.06187,5510509765.625
13.02.2017 01:00:00.000 GMT+0100,1.06186,1.06585,1.05920,1.05987,198618671875
14.02.2017 01:00:00.000 GMT+0100,1.05986,1.06333,1.05608,1.05782,220040640625
15.02.2017 01:00:00.000 GMT+0100,1.05783,1.06092,1.05214,1.06030,239541843750
16.02.2017 01:00:00.000 GMT+0100,1.06030,1.06794,1.05998,1.06712,245245109375
17.02.2017 01:00:00.000 GMT+0100,1.06709,1.06767,1.06054,1.06114,205934250000
19.02.2017 01:00:00.000 GMT+0100,1.06075,1.06329,1.06075,1.06251,7770850097.6563
20.02.2017 01:00:00.000 GMT+0100,1.06250,1.06299,1.06031,1.06088,141470812500
21.02.2017 01:00:00.000 GMT+0100,1.06088,1.06127,1.05258,1.05410,228481843750
22.02.2017 01:00:00.000 GMT+0100,1.05411,1.05740,1.04938,1.05505,271603656250
23.02.2017 01:00:00.000 GMT+0100,1.05505,1.05952,1.05376,1.05839,236701468750
