Local time,Open,High,Low,Close,Volume
05.10.2016 10:00:00.000 GMT+0200,1.12193,1.12333,1.12127,1.12162,252119105468.75
05.10.2016 14:00:00.000 GMT+0200,1.12162,1.12192,1.11897,1.11950,302550757812.5
05.10.2016 18:00:00.000 GMT+0200,1.11950,1.12203,1.11945,1.12050,162043894531.25
05.10.2016 22:00:00.000 GMT+0200,1.12052,1.12124,1.12040,1.12059,54475049316.406296
06.10.2016 02:00:00.000 GMT+0200,1.12059,1.12103,1.11991,1.12009,107949648437.5
06.10.2016 06:00:00.000 GMT+0200,1.12009,1.12023,1.11844,1.11965,187838521484.375
06.10.2016 10:00:00.000 GMT+0200,1.11965,1.12093,1.11782,1.11838,248714945312.5
06.10.2016 14:00:00.000 GMT+0200,1.11838,1.11890,1.11469,1.11569,292238718750
06.10.2016 18:00:00.000 GMT+0200,1.11569,1.11654,1.11399,1.11496,161427703125
06.10.2016 22:00:00.000 GMT+0200,1.11496,1.11550,1.11252,1.11418,94688358398.4375
07.10.2016 02:00:00.000 GMT+0200,1.11418,1.11464,1.11102,1.11125,189562539062.5
07.10.2016 06:00:00.000 GMT+0200,1.11125,1.11250,1.11043,1.11128,193904376953.125
07.10.2016 10:00:00.000 GMT+0200,1.11127,1.11446,1.11095,1.11419,282863996093.75
07.10.2016 14:00:00.000 GMT+0200,1.11419,1.12051,1.11168,1.11554,318516507812.5
07.10.2016 18:00:00.000 GMT+0200,1.11555,1.11983,1.11470,1.11961,209111339843.75
07.10.2016 22:00:00.000 GMT+0200,1.11959,1.12022,1.11939,1.11986,29353000000
09.10.2016 22:00:00.000 GMT+0200,1.11815,1.12032,1.11799,1.11945,49314569335.9375
10.10.2016 02:00:00.000 GMT+0200,1.11945,1.12003,1.11858,1.11933,170650589843.75
10.10.2016 06:00:00.000 GMT+0200,1.11933,1.11951,1.11686,1.11793,195831664062.5
10.10.2016 10:00:00.000 GMT+0200,1.11793,1.11854,1.11592,1.11604,210829460937.5
10.10.2016 14:00:00.000 GMT+0200,1.11605,1.11645,1.11481,1.11566,220633335937.5
10.10.2016 18:00:00.000 GMT+0200,1.11566,1.11579,1.11314,1.11356,137371417968.75
10.10.2016 22:00:00.000 GMT+0200,1.11359,1.11423,1.11347,1.11405,44816510498.0469
11.10.2016 02:00:00.000 GMT+0200,1.11405,1.11405,1.11196,1.11317,143819712890.625
11.10.2016 06:00:00.000 GMT+0200,1.11316,1.11373,1.11060,1.11125,173670437500
11.10.2016 10:00:00.000 GMT+0200,1.11123,1.11164,1.10715,1.10779,212598007812.5
11.10.2016 14:00:00.000 GMT+0200,1.10779,1.10986,1.10541,1.10610,263876375000
11.10.2016 18:00:00.000 GMT+0200,1.10610,1.10711,1.10488,1.10561,200172074218.75
11.10.2016 22:00:00.000 GMT+0200,1.10563,1.10676,1.10493,1.10573,67650020996.093796
12.10.2016 02:00:00.000 GMT+0200,1.10574,1.10589,1.10412,1.10504,130694541015.625
12.10.2016 06:00:00.000 GMT+0200,1.10504,1.10611,1.10317,1.10569,173634669921.875
